url_length,num_dots,num_hyphens,uses_ip_domain,has_at_symbol,uses_https,num_subdomains,suspicious_keyword_count,uses_punycode,domain_entropy,has_password_field,num_forms,external_form_action,num_iframes,external_links_ratio,has_hidden_inputs,label
24,1,0,0,0,1,0,0,0,2.72,0,0,0,0,0.10,0,0
31,2,0,0,0,1,0,1,0,2.92,1,1,0,0,0.18,0,0
42,2,1,0,0,1,1,1,0,3.12,1,1,0,1,0.24,1,0
86,5,4,0,0,0,4,3,0,3.88,1,2,1,2,0.64,1,1
73,3,2,1,0,0,0,2,0,2.58,1,1,1,0,0.72,1,1
64,4,1,0,1,1,3,2,0,3.34,1,1,1,3,0.56,1,1
55,2,0,0,0,1,0,0,0,2.83,0,1,0,0,0.12,0,0
118,6,5,0,0,0,5,4,1,4.01,1,3,1,4,0.81,1,1
39,1,0,0,0,1,0,0,0,2.71,0,0,0,0,0.05,0,0
68,3,3,0,0,1,2,2,0,3.51,1,1,0,1,0.42,1,1
29,1,0,0,0,1,0,0,0,2.44,0,0,0,0,0.08,0,0
92,5,2,0,1,0,4,3,0,3.77,1,2,1,2,0.69,1,1
